Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,22/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bermuda,BMU,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.88888889,70,67.77777778,67.77777778,66.66666667,70,66.66666667,70,67.77777778,72.22222222,76.66666667,78.8889,68.8889,67.77776667,66.66666667,66.66666667,66.66666667,
Brazil,BRA,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33333333,86.66666667,90,91.11111111,86.66666667,86.66666667,83.33333333,84.44444444,78.88888889,75.55555556,75.55555556,72.22223333,76.66666667,74.44443333,84.44443333,84.44443333,81.1111,
Barbados,BRB,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.77777778,62.22222222,57.77777778,63.33333333,73.33333333,75.55555556,77.77777778,74.44444444,75.55555556,78.88888889,68.8889,68.8889,65.5556,66.6667,63.33336667,60.00003333,
Botswana,BWA,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22222222,72.22222222,62.22222222,62.22222222,64.44444444,61.11111111,60,63.33333333,63.33333333,54.44444444,51.11111111,45.55553333,42.22216667,49.99996667,51.1111,51.1111,50,
Central African Republic,CAF,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,43.33333333,43.33333333,44.44444444,47.77777778,52.22222222,55.55555556,56.66666667,57.77777778,57.77777778,58.88888889,52.22226667,41.11113333,38.88886667,32.2222,35.55553333,36.66663333,
Canada,CAN,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.11111111,91.11111111,91.11111111,94.44444444,92.22222222,92.22222222,94.44444444,94.44444444,94.44444444,95.55555556,95.55555556,95.55556667,95.55556667,93.33333333,90,90,86.66666667,
China,CHN,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.44444444,64.44444444,57.77777778,61.11111111,61.11111111,62.22222222,65.55555667,68.88888889,70,70,70,70,80,78.8889,80,80,80,
Cote d'Ivoire,CIV,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,75.55555556,71.11111111,63.33333333,61.11111111,58.88888889,67.77777778,63.33333333,56.66666667,46.66666667,58.8889,67.77776667,66.66666667,66.6667,70.00003333,71.11113333,
Cameroon,CMR,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.11111111,50,63.33333333,63.33333333,66.66666667,63.33333333,66.66666667,64.44444444,60,56.66666667,56.66666667,55.55556667,68.8889,70.00003333,56.6667,56.6667,46.6667,
"Congo, Dem. Rep.",COD,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.22222222,41.11111111,37.77777778,37.77777778,37.77777778,34.44444444,35.55555556,43.33333333,43.33333333,50,56.66666667,57.77776667,51.11113333,46.6667,45.55556667,41.1111,39.99996667,
"Congo, Rep.",COG,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.22222222,44.44444444,51.11111111,52.22222222,48.88888889,54.44444444,54.44444444,50,50,52.22222222,47.77777778,50.00003333,50.00003333,48.8889,48.8889,45.55556667,38.8889,
Colombia,COL,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.66666667,78.88888889,75.55555556,85.55555556,82.22222222,85.55555556,84.44444444,84.44444444,84.44444444,81.11111111,81.11111111,84.44443333,88.8889,88.8889,82.22223333,81.1111,82.22223333,
Comoros,COM,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.66666667,55.55555556,55.55555556,56.66666667,53.33333333,50,50,41.11111111,43.33333333,40,42.22216667,34.4444,29.99996667,42.22216667,47.77776667,46.66663333,
Cabo Verde,CPV,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.88888889,73.33333333,74.44444444,73.33333333,70,73.33333333,70,68.88888889,65.55555556,68.88888889,66.66666667,68.88886667,67.77776667,71.1111,64.44443333,65.55556667,
Costa Rica,CRI,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.22222222,75.55555556,78.88888889,77.77777778,76.66666667,76.66666667,76.66666667,76.66666667,77.77777778,77.77777778,77.77777778,84.44443333,84.44443333,87.77776667,91.1111,91.1111,91.1111,
Caribbean small states,CSS,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,74.44444333,75,76.11111167,73.33333333,69.44444333,72.77777667,76.11111,73.33333333,74.44444444,70.55555556,67.22223333,69.44443333,58.88888333,54.99998333,54.44445,51.11111667,
Cuba,CUB,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
