 ,location,date,new_cases
396,China,21/02/2021,16
397,China,22/02/2021,16
398,China,23/02/2021,20
399,China,24/02/2021,15
400,China,25/02/2021,14
401,China,26/02/2021,15
402,China,27/02/2021,12
403,China,28/02/2021,25
404,China,01/03/2021,23
405,China,02/03/2021,14
406,China,03/03/2021,26
407,China,04/03/2021,21
408,China,05/03/2021,20
409,China,06/03/2021,37
410,China,07/03/2021,25
411,China,08/03/2021,23
412,China,09/03/2021,14
413,China,10/03/2021,27
414,China,11/03/2021,18
415,China,12/03/2021,14
416,China,13/03/2021,27
417,China,14/03/2021,15
418,China,15/03/2021,21
419,China,16/03/2021,9
420,China,17/03/2021,20
421,China,18/03/2021,17
422,China,19/03/2021,9
423,China,20/03/2021,19
424,China,21/03/2021,11
425,China,22/03/2021,16
426,China,23/03/2021,23
427,China,24/03/2021,18
428,China,25/03/2021,19
429,China,26/03/2021,43
430,China,27/03/2021,35
431,China,28/03/2021,27
432,China,29/03/2021,23
433,China,30/03/2021,14
434,China,31/03/2021,22
435,China,01/04/2021,47
436,China,02/04/2021,47
437,China,03/04/2021,36
438,China,04/04/2021,47
439,China,05/04/2021,39
440,China,06/04/2021,16
441,China,07/04/2021,28
442,China,08/04/2021,22
443,China,09/04/2021,25
444,China,10/04/2021,18
445,China,11/04/2021,38
446,China,12/04/2021,19
447,China,13/04/2021,26
448,China,14/04/2021,20
449,China,15/04/2021,26
450,China,16/04/2021,46
451,China,17/04/2021,33
452,China,18/04/2021,22
453,China,19/04/2021,23
454,China,20/04/2021,28
455,China,21/04/2021,13
456,China,22/04/2021,34
457,China,23/04/2021,30
458,China,24/04/2021,23
459,China,25/04/2021,25
460,China,26/04/2021,28
461,China,27/04/2021,22
462,China,28/04/2021,32
463,China,29/04/2021,26
464,China,30/04/2021,34
465,China,01/05/2021,27
466,China,02/05/2021,27
467,China,03/05/2021,29
468,China,04/05/2021,22
469,China,05/05/2021,14
470,China,06/05/2021,18
471,China,07/05/2021,24
472,China,08/05/2021,18
473,China,09/05/2021,20
474,China,10/05/2021,32
475,China,11/05/2021,37
476,China,12/05/2021,16
477,China,13/05/2021,20
478,China,14/05/2021,36
479,China,15/05/2021,43
480,China,16/05/2021,42
481,China,17/05/2021,36
482,China,18/05/2021,28
483,China,19/05/2021,24
484,China,20/05/2021,39
485,China,21/05/2021,35
486,China,22/05/2021,41
487,China,23/05/2021,37
488,China,24/05/2021,35
489,China,25/05/2021,29
490,China,26/05/2021,30
491,China,27/05/2021,28
492,China,28/05/2021,42
493,China,29/05/2021,23
494,China,30/05/2021,49
