LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,GDP per cap,Flag Codes,TIME,Hours worked,LOCATION
EST,HRWKD,TOT,HR_WKD,A,2017,1768,,2017,105.666517,EST
EST,HRWKD,TOT,HR_WKD,A,2018,1707.193467,,2018,112.536169,EST
EST,HRWKD,TOT,HR_WKD,A,2019,1694.396177,,2019,116.155203,EST
EST,HRWKD,TOT,HR_WKD,A,2020,1637.156028,,2020,122.871262,EST
EST,HRWKD,TOT,HR_WKD,A,2021,1767.055731,,2021,122.787944,EST
ISR,HRWKD,TOT,HR_WKD,A,2017,1918,,2017,102.748123,ISR
ISR,HRWKD,TOT,HR_WKD,A,2018,1910.1,,2018,105.539789,ISR
ISR,HRWKD,TOT,HR_WKD,A,2019,1898.1,,2019,108.967004,ISR
ISR,HRWKD,TOT,HR_WKD,A,2020,1782.5,,2020,115.844024,ISR
ISR,HRWKD,TOT,HR_WKD,A,2021,1752.8,,2021,117.46853,ISR
RUS,HRWKD,TOT,HR_WKD,A,2017,1979,,2017,101.982307,RUS
RUS,HRWKD,TOT,HR_WKD,A,2018,1970,,2018,105.010968,RUS
RUS,HRWKD,TOT,HR_WKD,A,2019,1965,,2019,108.312295,RUS
RUS,HRWKD,TOT,HR_WKD,A,2020,1874,,2020,112.299021,RUS
LVA,HRWKD,TOT,HR_WKD,A,2017,1649.860291,,2017,106.975631,LVA
LVA,HRWKD,TOT,HR_WKD,A,2018,1661.309003,,2018,108.894782,LVA
LVA,HRWKD,TOT,HR_WKD,A,2019,1631.036487,,2019,113.869735,LVA
LVA,HRWKD,TOT,HR_WKD,A,2020,1576.930288,,2020,117.937302,LVA
LVA,HRWKD,TOT,HR_WKD,A,2021,1601.202851,,2021,124.063823,LVA
LTU,HRWKD,TOT,HR_WKD,A,2017,1656.898913,,2017,106.331672,LTU
LTU,HRWKD,TOT,HR_WKD,A,2018,1664.021426,,2018,108.612217,LTU
LTU,HRWKD,TOT,HR_WKD,A,2019,1665.381726,,2019,112.893562,LTU
LTU,HRWKD,TOT,HR_WKD,A,2020,1594.925699,,2020,119.730528,LTU
LTU,HRWKD,TOT,HR_WKD,A,2021,1619.977863,,2021,123.47746,LTU
CRI,HRWKD,TOT,HR_WKD,A,2017,2178.9,,2017,106.844514,CRI
CRI,HRWKD,TOT,HR_WKD,A,2018,2121,,2018,108.821,CRI
CRI,HRWKD,TOT,HR_WKD,A,2019,2059.6,,2019,111.826768,CRI
CRI,HRWKD,TOT,HR_WKD,A,2020,1913.2,,2020,129.159093,CRI
CRI,HRWKD,TOT,HR_WKD,A,2021,2073.3,,2021,122.160896,CRI
BGR,HRWKD,TOT,HR_WKD,A,2017,1643.257184,,2017,103.579945,BGR
BGR,HRWKD,TOT,HR_WKD,A,2018,1644.571563,,2018,106.387642,BGR
BGR,HRWKD,TOT,HR_WKD,A,2019,1645.247395,,2019,110.263892,BGR
BGR,HRWKD,TOT,HR_WKD,A,2020,1604.825271,,2020,110.644324,BGR
BGR,HRWKD,TOT,HR_WKD,A,2021,1619.42211,,2021,114.007795,BGR
COL,HRWKD,TOT,HR_WKD,A,2017,2284.499821,,2017,102.999044,COL
COL,HRWKD,TOT,HR_WKD,A,2018,2283.325839,,2018,104.503819,COL
COL,HRWKD,TOT,HR_WKD,A,2019,2272.192928,,2019,107.793852,COL
COL,HRWKD,TOT,HR_WKD,A,2020,1963.970524,,2020,129.049763,COL
HRV,HRWKD,TOT,HR_WKD,A,2017,1823.598252,,2017,104.42817,HRV
HRV,HRWKD,TOT,HR_WKD,A,2018,1811.059423,,2018,105.473111,HRV
HRV,HRWKD,TOT,HR_WKD,A,2019,1837.765528,,2019,104.361121,HRV
HRV,HRWKD,TOT,HR_WKD,A,2020,1833.6217,,2020,97.284249,HRV
HRV,HRWKD,TOT,HR_WKD,A,2021,1835.001371,,2021,105.901089,HRV
ROU,HRWKD,TOT,HR_WKD,A,2017,1785.838142,,2017,110.985401,ROU
ROU,HRWKD,TOT,HR_WKD,A,2018,1786.982683,,2018,115.772584,ROU
ROU,HRWKD,TOT,HR_WKD,A,2019,1803.112203,,2019,119.394547,ROU
ROU,HRWKD,TOT,HR_WKD,A,2020,1806.346278,,2020,116.801689,ROU
ROU,HRWKD,TOT,HR_WKD,A,2021,1838.426426,,2021,133.400434,ROU
EU27,HRWKD,TOT,HR_WKD,A,2017,1599.098471,,2017,102.174531,EU27_2020
EU27,HRWKD,TOT,HR_WKD,A,2018,1597.677569,,2018,102.9426,EU27_2020
EU27,HRWKD,TOT,HR_WKD,A,2019,1593.677657,,2019,104.006709,EU27_2020
EU27,HRWKD,TOT,HR_WKD,A,2020,1511.508494,,2020,105.306113,EU27_2020
EU27,HRWKD,TOT,HR_WKD,A,2021,1565.551252,,2021,105.599606,EU27_2020
