Location,TIME,GDP/hourworked,Hours worked/week
FIN,1985,32,1699
FIN,1986,33,1683
FIN,1987,34,1690
FIN,1988,35,1694
FIN,1989,37,1694
FIN,1990,38,1671
FIN,1991,38,1652
FIN,1992,39,1652
FIN,1993,41,1651
FIN,1994,43,1671
FIN,1995,44,1677
FIN,1996,45,1675
FIN,1997,46,1671
FIN,1998,48,1661
FIN,1999,49,1661
FIN,2000,51,1650
FIN,2001,52,1636
FIN,2002,53,1628
FIN,2003,54,1623
FIN,2004,56,1624
FIN,2005,57,1613
FIN,2006,58,1608
FIN,2007,60,1605
FIN,2008,59,1601
FIN,2009,57,1580
FIN,2010,59,1585
FIN,2011,59,1578
FIN,2012,59,1568
FIN,2013,59,1560
FIN,2014,59,1558
FIN,2015,59,1555
FIN,2016,61,1555
FIN,2017,62,1548.879611
FIN,2018,62,1546.373238
FIN,2019,61,1538.371186
FIN,2020,62,1528.789942
FRA,2021,62,1518.267369
FRA,1970,24,1993
FRA,1971,25,1990
FRA,1972,27,1937
FRA,1973,28,1920
FRA,1974,30,1888
FRA,1975,30,1863
FRA,1976,31,1889
FRA,1977,32,1850
FRA,1978,34,1819
FRA,1979,35,1816
FRA,1980,35,1806
FRA,1981,36,1786
FRA,1982,39,1714
FRA,1983,40,1696
FRA,1984,41,1690
FRA,1985,42,1654
FRA,1986,43,1648
FRA,1987,44,1659
FRA,1988,45,1667
FRA,1989,47,1651
FRA,1990,48,1645
FRA,1991,48,1638
FRA,1992,49,1635
FRA,1993,50,1627
FRA,1994,51,1623
FRA,1995,52,1601
FRA,1996,53,1597
FRA,1997,54,1596
FRA,1998,55,1585
FRA,1999,56,1578
FRA,2000,57,1558
FRA,2001,58,1538
FRA,2002,60,1504
FRA,2003,60,1507
FRA,2004,61,1531
FRA,2005,61,1532
FRA,2006,63,1515
FRA,2007,63,1537
FRA,2008,62,1543
FRA,2009,62,1531
FRA,2010,62,1540
FRA,2011,63,1546
FRA,2012,63,1541
FRA,2013,64,1526
FRA,2014,65,1518
FRA,2015,65,1519.484356
FRA,2016,65,1522.069358
FRA,2017,67,1507.60482
FRA,2018,67,1514.410327
FRA,2019,67,1518.157256
FRA,2020,68,1407.257635
DEU,2021,67,1490.331744
DEU,1991,47,1554.1
DEU,1992,48,1565.1
DEU,1993,49,1540.2
DEU,1994,51,1536.6
DEU,1995,51,1530.6
DEU,1996,52,1516.8
DEU,1997,54,1507.7
DEU,1998,54,1504.5
DEU,1999,55,1491.5
DEU,2000,56,1465.9
DEU,2001,57,1458.2
DEU,2002,58,1448.9
DEU,2003,58,1443.4
DEU,2004,59,1442.6
DEU,2005,60,1432.4
DEU,2006,61,1453.2
DEU,2007,62,1454.1
DEU,2008,62,1447.3
DEU,2009,60,1405
DEU,2010,61,1425.7
DEU,2011,63,1426.9
DEU,2012,63,1408
DEU,2013,63,1396.5
DEU,2014,64,1400.4
DEU,2015,64,1401
DEU,2016,65,1395.6
DEU,2017,66,1389.1
DEU,2018,67,1384.7
DEU,2019,67,1381.5
DEU,2020,68,1324.2
GRC,2021,68,1349.3
GRC,1983,27,2072.194648
GRC,1984,28,2002.995101
GRC,1985,28,2020.058003
GRC,1986,28,2008.682735
GRC,1987,28,1967.921358
GRC,1988,29,1956.54609
GRC,1989,30,1997.307467
GRC,1990,29,1975.50487
GRC,1991,30,2004.890979
GRC,1992,30,2031.433271
GRC,1993,29,2051.33999
GRC,1994,29,2018.162125
GRC,1995,30,2000.821404
GRC,1996,31,1999.58443
GRC,1997,33,1998.201593
GRC,1998,32,1998.667236
GRC,1999,33,1995.269737
GRC,2000,35,1997.914945
GRC,2001,36,1991.743576
GRC,2002,37,1984.241121
GRC,2003,38,1982.593768
GRC,2004,39,1974.131163
GRC,2005,38,2025.023795
GRC,2006,40,2014.691441
GRC,2007,41,2001.088734
GRC,2008,40,1996.604815
GRC,2009,39,1972.860526
GRC,2010,39,1931.079825
GRC,2011,36,1950.220694
GRC,2012,34,1989.931373
GRC,2013,34,1996.606484
GRC,2014,33,1949.334001
GRC,2015,35,1934.986808
GRC,2016,33,1942.726543
GRC,2017,34,1946.940954
GRC,2018,32,1961.081181
GRC,2019,33,1916.660051
GRC,2020,34,1730.737639
HUN,2021,33,1872.237051
HUN,1991,17,2048
HUN,1992,18,2002
HUN,1993,19,2002
HUN,1994,19,2142
HUN,1995,22,1948
HUN,1996,22,1946
HUN,1997,22,1954.3
HUN,1998,23,1945.1
HUN,1999,23,1952.4
HUN,2000,24,1932.4
HUN,2001,26,1897.8
HUN,2002,27,1883.6
HUN,2003,28,1856.3
HUN,2004,30,1858.6
HUN,2005,32,1834.1
HUN,2006,33,1813.9
HUN,2007,34,1787.8
HUN,2008,35,1791.2
HUN,2009,34,1758.2
HUN,2010,34,1766.4
HUN,2011,35,1753.7
HUN,2012,35,1738.3
HUN,2013,35,1733.6
HUN,2014,34,1748.6
HUN,2015,35,1745.9
HUN,2016,34,1760.2
HUN,2017,35,1747.4
HUN,2018,37,1729.9
HUN,2019,38,1722.2
HUN,2020,38,1657.1
ISL,2021,40,1697.1
ISL,1970,20,1954
ISL,1971,22,1916
ISL,1972,23,1883
ISL,1973,24,1866
ISL,1974,25,1841
ISL,1975,25,1817
ISL,1976,26,1790
ISL,1977,29,1748
ISL,1978,30,1710
ISL,1979,32,1697
ISL,1980,33,1688
ISL,1981,32,1681
ISL,1982,32,1684
ISL,1983,31,1684
ISL,1984,32,1682
ISL,1985,32,1681
ISL,1986,33,1674
ISL,1987,34,1672
ISL,1988,35,1679
ISL,1989,36,1675
ISL,1990,37,1665
ISL,1991,36,1668
ISL,1992,35,1668
ISL,1993,35,1683
ISL,1994,37,1655
ISL,1995,36,1641
ISL,1996,37,1659
ISL,1997,39,1684
ISL,1998,41,1665
ISL,1999,42,1645
ISL,2000,43,1696
ISL,2001,45,1707
ISL,2002,45,1672
ISL,2003,47,1639
ISL,2004,50,1645
ISL,2005,52,1637
ISL,2006,53,1627
ISL,2007,56,1605
ISL,2008,54,1625.203569
ISL,2009,58,1536.385176
ISL,2010,57,1527.852308
ISL,2011,57,1537.681071
ISL,2012,57,1523.064516
ISL,2013,59,1524.1331
ISL,2014,59,1513.435897
ISL,2015,60,1511.401662
ISL,2016,60,1519.994701
ISL,2017,61,1507.076767
ISL,2018,62,1496.456071
ISL,2019,65,1480.148221
ISL,2020,65,1446.239627
IRL,2021,67,1433.409553
IRL,1970,16,2335
IRL,1971,16,2318
IRL,1972,18,2297
IRL,1973,18,2285
IRL,1974,19,2248
IRL,1975,20,2239
IRL,1976,21,2233
IRL,1977,22,2203
IRL,1978,24,2184
IRL,1979,24,2162
IRL,1980,25,2123
IRL,1981,26,2091
IRL,1982,27,2084
IRL,1983,27,2074
IRL,1984,29,2056
IRL,1985,30,2063
IRL,1986,30,2097
IRL,1987,31,2077
IRL,1988,33,2085
IRL,1989,35,2092
IRL,1990,36,2081
IRL,1991,38,2046
IRL,1992,40,1998
IRL,1993,41,1971
IRL,1994,42,1971
IRL,1995,44,1963
IRL,1996,45,1954
IRL,1997,49,1954
IRL,1998,50,1953
IRL,1999,52,1942
IRL,2000,54,1933
IRL,2001,56,1924
IRL,2002,59,1904
IRL,2003,60,1887
IRL,2004,62,1875
IRL,2005,63,1883
IRL,2006,63,1879
IRL,2007,64,1865
IRL,2008,62,1844
IRL,2009,65,1812
IRL,2010,74,1721
IRL,2011,76,1737
IRL,2012,76,1738
IRL,2013,74,1743
IRL,2014,78,1757
IRL,2015,94,1771
IRL,2016,91,1763
IRL,2017,95,1775
IRL,2018,100,1782
IRL,2019,102,1771
IRL,2020,120,1746
ITA,2021,128,1775
ITA,1995,50,1856.2
ITA,1996,50,1866.2
ITA,1997,51,1859.9
ITA,1998,51,1873.1
ITA,1999,51,1869.9
ITA,2000,53,1850.2
ITA,2001,53,1837.6
ITA,2002,53,1826.2
ITA,2003,52,1815.1
ITA,2004,53,1814.6
ITA,2005,53,1811.1
ITA,2006,53,1811.9
ITA,2007,53,1817.7
ITA,2008,53,1806.5
ITA,2009,51,1775.2
ITA,2010,53,1776.8
ITA,2011,53,1772.6
ITA,2012,53,1733.6
ITA,2013,53,1719.1
ITA,2014,53,1716.3
ITA,2015,53,1717.5
ITA,2016,53,1721.7
ITA,2017,53,1719.2
ITA,2018,53,1719.4
ITA,2019,54,1710.2
ITA,2020,55,1553.6
JPN,2021,55,1668.5
JPN,1970,14,2243
JPN,1971,14,2239
JPN,1972,16,2228
JPN,1973,17,2201
JPN,1974,17,2137
JPN,1975,18,2112
JPN,1976,18,2128
JPN,1977,19,2129
JPN,1978,20,2123
JPN,1979,21,2126
JPN,1980,21,2121
JPN,1981,22,2106
JPN,1982,23,2104
JPN,1983,23,2095
JPN,1984,24,2108
JPN,1985,25,2093
JPN,1986,26,2097
JPN,1987,27,2096
JPN,1988,28,2092
JPN,1989,30,2070
JPN,1990,31,2031
JPN,1991,32,1998
JPN,1992,33,1965
JPN,1993,33,1905
JPN,1994,34,1898
JPN,1995,35,1883.671638
JPN,1996,36,1892.173834
JPN,1997,37,1864.694582
JPN,1998,37,1841.918285
JPN,1999,38,1810.412938
JPN,2000,39,1821.266089
JPN,2001,40,1808.568435
JPN,2002,40,1798.364037
JPN,2003,41,1798.615975
JPN,2004,42,1785.427551
JPN,2005,42,1776.511902
JPN,2006,43,1785.561533
JPN,2007,43,1784.750177
JPN,2008,43,1771.351596
JPN,2009,42,1713.517603
JPN,2010,43,1732.91114
JPN,2011,44,1728.186181
JPN,2012,44,1745.088149
JPN,2013,45,1733.593581
JPN,2014,45,1729.330123
JPN,2015,46,1719.293635
JPN,2016,46,1713.543736
JPN,2017,47,1708.580315
JPN,2018,47,1680.167068
JPN,2019,47,1643.81852
JPN,2020,47,1597.981379
KOR,2021,47,1607
KOR,2008,29,2228
KOR,2009,30,2174
KOR,2010,32,2163
KOR,2011,33,2136
KOR,2012,34,2119
