LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IRL,LTINT,TOT,PC_PA,M,2014-04,2.9,
IRL,LTINT,TOT,PC_PA,M,2014-05,2.71,
IRL,LTINT,TOT,PC_PA,M,2014-06,2.44,
IRL,LTINT,TOT,PC_PA,M,2014-07,2.28,
IRL,LTINT,TOT,PC_PA,M,2014-08,2.02,
IRL,LTINT,TOT,PC_PA,M,2014-09,1.75,
IRL,LTINT,TOT,PC_PA,M,2014-10,1.74,
IRL,LTINT,TOT,PC_PA,M,2014-11,1.58,
IRL,LTINT,TOT,PC_PA,M,2014-12,1.31,
IRL,LTINT,TOT,PC_PA,M,2015-01,1.22,
IRL,LTINT,TOT,PC_PA,M,2015-02,1.12,
IRL,LTINT,TOT,PC_PA,M,2015-03,0.8,
IRL,LTINT,TOT,PC_PA,M,2015-04,0.73,
IRL,LTINT,TOT,PC_PA,M,2015-05,1.25,
IRL,LTINT,TOT,PC_PA,M,2015-06,1.65,
IRL,LTINT,TOT,PC_PA,M,2015-07,1.47,
IRL,LTINT,TOT,PC_PA,M,2015-08,1.29,
IRL,LTINT,TOT,PC_PA,M,2015-09,1.31,
IRL,LTINT,TOT,PC_PA,M,2015-10,1.14,
IRL,LTINT,TOT,PC_PA,M,2015-11,1.1,
IRL,LTINT,TOT,PC_PA,M,2015-12,1.11,
IRL,LTINT,TOT,PC_PA,M,2016-01,1.05,
IRL,LTINT,TOT,PC_PA,M,2016-02,0.99,
IRL,LTINT,TOT,PC_PA,M,2016-03,0.85,
IRL,LTINT,TOT,PC_PA,M,2016-04,0.86,
IRL,LTINT,TOT,PC_PA,M,2016-05,0.84,
IRL,LTINT,TOT,PC_PA,M,2016-06,0.76,
IRL,LTINT,TOT,PC_PA,M,2016-07,0.47,
IRL,LTINT,TOT,PC_PA,M,2016-08,0.4,
IRL,LTINT,TOT,PC_PA,M,2016-09,0.42,
IRL,LTINT,TOT,PC_PA,M,2016-10,0.5,
IRL,LTINT,TOT,PC_PA,M,2016-11,0.85,
IRL,LTINT,TOT,PC_PA,M,2016-12,0.84,
IRL,LTINT,TOT,PC_PA,M,2017-01,0.99,
IRL,LTINT,TOT,PC_PA,M,2017-02,1.06,
IRL,LTINT,TOT,PC_PA,M,2017-03,1.05,
IRL,LTINT,TOT,PC_PA,M,2017-04,0.91,
IRL,LTINT,TOT,PC_PA,M,2017-05,0.83,
IRL,LTINT,TOT,PC_PA,M,2017-06,0.7,
IRL,LTINT,TOT,PC_PA,M,2017-07,0.87,
IRL,LTINT,TOT,PC_PA,M,2017-08,0.73,
IRL,LTINT,TOT,PC_PA,M,2017-09,0.7,
IRL,LTINT,TOT,PC_PA,M,2017-10,0.66,
IRL,LTINT,TOT,PC_PA,M,2017-11,0.58,
IRL,LTINT,TOT,PC_PA,M,2017-12,0.54,
IRL,LTINT,TOT,PC_PA,M,2018-01,0.913,
IRL,LTINT,TOT,PC_PA,M,2018-02,1.13,
IRL,LTINT,TOT,PC_PA,M,2018-03,1.006,
IRL,LTINT,TOT,PC_PA,M,2018-04,0.94,
IRL,LTINT,TOT,PC_PA,M,2018-05,0.982,
IRL,LTINT,TOT,PC_PA,M,2018-06,0.92,
IRL,LTINT,TOT,PC_PA,M,2018-07,0.83,
IRL,LTINT,TOT,PC_PA,M,2018-08,0.862,
IRL,LTINT,TOT,PC_PA,M,2018-09,0.933,
IRL,LTINT,TOT,PC_PA,M,2018-10,1.008,
IRL,LTINT,TOT,PC_PA,M,2018-11,0.983,
IRL,LTINT,TOT,PC_PA,M,2018-12,0.909,
IRL,LTINT,TOT,PC_PA,M,2019-01,0.935,
IRL,LTINT,TOT,PC_PA,M,2019-02,0.856,
IRL,LTINT,TOT,PC_PA,M,2019-03,0.668,
IRL,LTINT,TOT,PC_PA,M,2019-04,0.56,
IRL,LTINT,TOT,PC_PA,M,2019-05,0.499,
IRL,LTINT,TOT,PC_PA,M,2019-06,0.2714,
IRL,LTINT,TOT,PC_PA,M,2019-07,0.132,
IRL,LTINT,TOT,PC_PA,M,2019-08,-0.051,
IRL,LTINT,TOT,PC_PA,M,2019-09,-0.01,
IRL,LTINT,TOT,PC_PA,M,2019-10,0.016,
IRL,LTINT,TOT,PC_PA,M,2019-11,0.073,
